triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
CAPY1_CAOV1_CASE1,CASE1,0.0,4.49178438908209,0.8841322906403619,0.11586770935963814,0.012942019243243244,0.012942019243243244,-242.4571581537201,-244.08750279175848,37
CAPY1_CAOV1_CACA1,CAPY1,0.0,0.6490368346337896,0.5134739370976025,0.4865260629023976,0.01131672288544964,0.01131672288544964,-7870.50214703615,-7735.783695343329,1112
CAPY1_CAOV1_CACA1,CAOV1,0.0,0.919396646366549,0.704116136745966,0.29588386325403404,0.0075169515,0.0075169515,-250.36344883144267,-261.03407287716055,34
CAPY1_CAOV1_CACA1,CACA1,0.0,2.564737867864422,0.8403798115510662,0.15962018844893383,0.013762849000000002,0.013762849000000002,-437.7259998742643,-449.2038672470375,69
CAPY1_CAOV1_CATH1,CAPY1,0.0,0.6530237893782457,0.5076866021926044,0.4923133978073957,0.011953347070911528,0.011953347070911528,-7808.81970975333,-7662.032769853535,1119
CAPY1_CAOV1_CATH1,CAOV1,0.0,6.020592058649543,0.8164502895411614,0.1835497104588385,0.009970745304651162,0.009970745304651162,-303.8717650984316,-306.53539498859146,43
CAPY1_CAOV1_CATH1,CATH1,0.0,2.146368899647275,0.7859273607545652,0.21407263924543474,0.01681700662264151,0.01681700662264151,-312.6113255794411,-323.07835628378376,53
CAPY1_CAOV1_CAHE1,CAPY1,0.0,0.6220203179456665,0.5203854217192913,0.47961457828070875,0.012713716532794643,0.012713716532794643,-7660.257581289038,-7530.744287151433,1120
CAPY1_CAOV1_CAHE1,CAOV1,0.0,4.616941941966656,0.791528247600647,0.20847175239935292,0.012113617780555556,0.012113617780555556,-235.7595013454707,-242.18308270304937,36
CAPY1_CAOV1_CAHE1,CAHE1,0.0,2.8886842157873924,0.8138881017825876,0.18611189821741234,0.01831402328813559,0.01831402328813559,-338.63894976827976,-349.93287165404547,59
CAPY1_CAIR1_CASE1,CAPY1,0.0,0.6420976456717459,0.5079917962629357,0.49200820373706433,0.01204110940464738,0.01204110940464738,-7704.7496894344795,-7556.7677794462925,1106
CAPY1_CAIR1_CASE1,CAIR1,0.0,1.6370737642223938,0.713506505798901,0.286493494201099,0.01838041794915254,0.01838041794915254,-334.18489904958847,-349.5058544663887,59
CAPY1_CAIR1_CASE1,CASE1,0.0,2.347393416003419,0.8420646333412006,0.1579353666587992,0.010645296962,0.010645296962,-338.94344987518554,-350.35168541185396,50
CAPY1_CAIR1_CACA1,CAPY1,0.0,0.6673994430229665,0.516707759052834,0.483292240947166,0.011357785924521894,0.011357785924521894,-7904.300468637303,-7776.412105677544,1119
CAPY1_CAIR1_CACA1,CAIR1,0.0,3.457901831414155,0.873316283243726,0.1266837167562739,0.01582937361111111,0.01582937361111111,-217.306041211974,-222.92041530518293,36
CAPY1_CAIR1_CACA1,CACA1,0.0,2.297225922695045,0.8135277898752206,0.18647221012477944,0.015365532685,0.015365532685,-362.39079356710283,-376.9810652705388,60
CAPY1_CAIR1_CATH1,CAPY1,0.0,0.6738714097556548,0.5136841014563203,0.48631589854367974,0.01213215144854481,0.01213215144854481,-7815.900932106707,-7683.386733447051,1127
CAPY1_CAIR1_CATH1,CAIR1,0.0,2.785194438783288,0.8451949274861714,0.15480507251382855,0.019397177176470586,0.019397177176470586,-188.7141934764432,-196.57232510636902,34
CAPY1_CAIR1_CATH1,CATH1,0.0,1.9088969927207553,0.7803243777903393,0.21967562220966103,0.014445881629629629,0.014445881629629629,-331.6911655598977,-345.64437459808886,54
CAPY1_CAIR1_CAHE1,CAPY1,0.0,0.6260598030758007,0.5251183465664876,0.4748816534335124,0.012685145989221826,0.012685145989221826,-7642.872128051945,-7522.316221942499,1118
CAPY1_CAIR1_CAHE1,CAIR1,0.0,3.338030093818298,0.8333519116862995,0.16664808831370045,0.0110895653902439,0.0110895653902439,-277.97840499942834,-283.4299826867928,41
CAPY1_CAIR1_CAHE1,CAHE1,0.0,1.6893714140696257,0.7854481562271465,0.21455184377285352,0.013520064214285714,0.013520064214285714,-352.7294219795222,-365.97565969500516,56
CAPY1_CASE1_CACA1,CAPY1,0.0,0.6547367167395122,0.513844174136972,0.48615582586302797,0.011568894498112523,0.011568894498112523,-7748.176428916557,-7617.590500119193,1102
CAPY1_CASE1_CACA1,CASE1,0.0,0.9511341444683681,0.7719523673293203,0.22804763267067976,0.007334696205128203,0.007334696205128203,-289.59311748014187,-301.7173026154871,39
CAPY1_CASE1_CACA1,CACA1,0.0,1.0203234731600115,0.698746508284931,0.3012534917150689,0.016085236135135135,0.016085236135135135,-442.36284385277037,-458.91424372234206,74
CAPY1_CASE1_CATH1,CAPY1,0.0,0.6902608670343685,0.503829598786745,0.49617040121325495,0.011433561392387388,0.011433561392387388,-7846.404135513275,-7699.05691704886,1110
CAPY1_CASE1_CATH1,CASE1,0.0,1.1857751562904488,0.7880619313312653,0.21193806866873444,0.009484686823076922,0.009484686823076922,-269.2048409663437,-281.66642050662267,39
CAPY1_CASE1_CATH1,CATH1,0.0,1.6492806270526486,0.7222875471221444,0.27771245287785573,0.015797820924242426,0.015797820924242426,-396.88932183946514,-411.330936191472,66
CAPY1_CASE1_CAHE1,CAPY1,0.0,0.6590659629826673,0.5192191324545564,0.4807808675454435,0.01220138871017905,0.01220138871017905,-7724.834265140983,-7602.444696410531,1117
CAPY1_CASE1_CAHE1,CASE1,0.0,5.735301924000148,0.7814137424018548,0.21858625759814518,0.006324357545714286,0.006324357545714286,-277.0609567115427,-280.8789295714449,35
CAPY1_CASE1_CAHE1,CAHE1,0.0,1.2476296342545106,0.7211424225566613,0.2788575774433383,0.01707910698412698,0.01707910698412698,-365.9575261650391,-382.6641866861842,63
CAPY1_CACA1_CATH1,CAPY1,0.0,0.6471431317282872,0.5157177620685982,0.4842822379314018,0.011382381483873553,0.011382381483873553,-7932.2704466967925,-7799.3728432586795,1123
CAPY1_CACA1_CATH1,CACA1,0.0,5.82202867155448,0.9022344738077086,0.09776552619229145,0.01050008226491228,0.01050008226491228,-405.4598647167174,-401.38337806108666,57
CAPY1_CACA1_CATH1,CATH1,0.0,4.582173056852753,0.8444525600718216,0.15554743992817854,0.010485821771428571,0.010485821771428571,-242.26252508974983,-245.48583886369298,35
